area,avg_h_mean_cpi,avg_h_mean_cpi_err
All,0.20059972483861546,0.006047033384792026
LA,0.15120629340411745,0.013001055370273497
SanFran,0.10524817260405789,0.008121090451776043
Chicago,0.1776539878946731,0.01760974290602021
NY,0.10822164403589458,0.010778646728317
Seattle,0.19253515045051986,0.014229425431964026
