CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
16980,16984,17063,"Grundy County, IL",County or equivalent,50063,50079,50154,50099,50160,50187,50287,50363,50317,50622,50973,51054,,
16980,16984,17111,"McHenry County, IL",County or equivalent,308760,308882,309112,308504,308230,307605,307404,307572,307159,307815,308251,307774,,
16980,16984,17197,"Will County, IL",County or equivalent,677560,677580,678824,680827,682477,683734,685158,685877,688328,690479,691149,690743,,
16980,20994,,"Elgin, IL",Metropolitan Division,735165,735288,736586,740374,743280,746394,751559,755833,759341,762733,764786,766290,,
16980,20994,17037,"DeKalb County, IL",County or equivalent,105160,105162,105145,104450,104365,104202,104560,104195,104080,104309,104349,104897,,
16980,20994,17089,"Kane County, IL",County or equivalent,515269,515322,516068,519110,520669,522626,525625,528760,530726,532272,532720,532403,,
16980,20994,17093,"Kendall County, IL",County or equivalent,114736,114804,115373,116814,118246,119566,121374,122878,124535,126152,127717,128990,,
16980,23844,,"Gary, IN",Metropolitan Division,708070,708117,708163,707978,706627,705661,705792,702691,700964,700547,701279,703428,,
16980,23844,18073,"Jasper County, IN",County or equivalent,33478,33481,33496,33427,33492,33423,33512,33478,33405,33424,33365,33562,,
16980,23844,18089,"Lake County, IN",County or equivalent,496005,496108,495947,494954,493390,491732,491027,487908,486092,484601,484440,485493,,
16980,23844,18111,"Newton County, IN",County or equivalent,14244,14239,14233,14086,14043,14028,14087,13971,13992,14027,13986,13984,,
16980,23844,18127,"Porter County, IN",County or equivalent,164343,164289,164487,165511,165702,166478,167166,167334,167475,168495,169488,170389,,
16980,29404,,"Lake County-Kenosha County, IL-WI",Metropolitan Division,869888,869824,870796,868477,869299,871507,872130,872521,872025,870831,868513,866096,,
16980,29404,17097,"Lake County, IL",County or equivalent,703462,703400,704170,701642,702083,704207,704294,704611,704158,702475,699587,696535,,
16980,29404,55059,"Kenosha County, WI",County or equivalent,166426,166424,166626,166835,167216,167300,167836,167910,167867,168356,168926,169561,,
17020,,,"Chico, CA",Metropolitan Statistical Area,220000,220005,219949,219975,220869,221641,223516,224631,226231,228696,230339,219186,,
17020,,6007,"Butte County, CA",County or equivalent,220000,220005,219949,219975,220869,221641,223516,224631,226231,228696,230339,219186,,
