CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021
18140,,39049,"Franklin County, OH",County or equivalent,1163414,1163476,1166202,1180800,1199045,1218878,1238362,1257386,1274450,1295510,1307698,1316756,,
18140,,39073,"Hocking County, OH",County or equivalent,29380,29369,29478,29466,29304,28653,28743,28500,28393,28436,28357,28264,,
18140,,39089,"Licking County, OH",County or equivalent,166492,166482,166705,167164,167589,168461,169410,170611,171993,173617,175666,176862,,
18140,,39097,"Madison County, OH",County or equivalent,43435,43438,43434,43114,42991,43256,43980,44139,43377,44041,44389,44731,,
18140,,39117,"Morrow County, OH",County or equivalent,34827,34825,34790,34810,34834,34846,34937,34943,34922,34911,35113,35328,,
18140,,39127,"Perry County, OH",County or equivalent,36058,36037,36037,36232,35984,36000,35926,35967,35998,35972,36039,36134,,
18140,,39129,"Pickaway County, OH",County or equivalent,55698,55684,55740,55948,56237,56355,56704,56989,57545,57740,58077,58457,,
18140,,39159,"Union County, OH",County or equivalent,52300,52331,52464,53095,52796,53436,53773,54388,55581,56798,57782,58988,,
18580,,,"Corpus Christi, TX",Metropolitan Statistical Area,405027,405025,404676,407721,413199,419080,423313,427621,428953,428445,428697,429024,,
18580,,48355,"Nueces County, TX",County or equivalent,340223,340223,340245,343263,347939,352946,356657,360504,361642,361235,362026,362294,,
18580,,48409,"San Patricio County, TX",County or equivalent,64804,64802,64431,64458,65260,66134,66656,67117,67311,67210,66671,66730,,
18700,,,"Corvallis, OR",Metropolitan Statistical Area,85579,85581,85574,86266,86678,86167,87215,88333,89918,91790,92442,93053,,
18700,,41003,"Benton County, OR",County or equivalent,85579,85581,85574,86266,86678,86167,87215,88333,89918,91790,92442,93053,,
18880,,,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,235865,235870,235932,238704,246952,251881,255801,260814,265492,271499,277666,284809,,
18880,,12091,"Okaloosa County, FL",County or equivalent,180822,180824,180715,183102,189762,192688,194615,197748,200071,203478,206934,210738,,
18880,,12131,"Walton County, FL",County or equivalent,55043,55046,55217,55602,57190,59193,61186,63066,65421,68021,70732,74071,,
19060,,,"Cumberland, MD-WV",Metropolitan Statistical Area,103299,103272,103170,102629,101833,101267,100587,99879,99428,98575,97894,97284,,
19060,,24001,"Allegany County, MD",County or equivalent,75087,75047,74965,74572,73947,73576,73020,72462,72053,71352,70941,70416,,
19060,,54057,"Mineral County, WV",County or equivalent,28212,28225,28205,28057,27886,27691,27567,27417,27375,27223,26953,26868,,
19100,,,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,6366542,6366537,6392065,6510544,6644559,6753889,6889769,7042566,7194758,7337097,7455756,7573136,,
19100,19124,,"Dallas-Plano-Irving, TX",Metropolitan Division,4230520,4228853,4246890,4332281,4429033,4505783,4603065,4709844,4814994,4914285,4996835,5081942,,
19100,19124,48085,"Collin County, TX",County or equivalent,782341,781419,787614,812540,835230,856398,884688,915243,943742,971864,1004307,1034730,,
19100,19124,48113,"Dallas County, TX",County or equivalent,2368139,2367430,2372993,2408697,2455930,2484486,2519410,2557830,2591488,2620154,2629350,2635516,,
19100,19124,48121,"Denton County, TX",County or equivalent,662614,662557,666760,685740,707892,728624,753188,779584,808212,835364,858741,887207,,
19100,19124,48139,"Ellis County, TX",County or equivalent,149610,149610,150367,152373,153739,155928,159204,163292,168332,173405,179006,184826,,
19100,19124,48231,"Hunt County, TX",County or equivalent,86129,86144,86365,86687,86979,87429,88639,89670,91895,94046,96606,98594,,
19100,19124,48257,"Kaufman County, TX",County or equivalent,103350,103348,103872,105199,106553,108248,110872,114055,117904,122628,128279,136154,,
19100,19124,48397,"Rockwall County, TX",County or equivalent,78337,78345,78919,81045,82710,84670,87064,90170,93421,96824,100546,104915,,
19100,23104,,"Fort Worth-Arlington-Grapevine, TX",Metropolitan Division,2136022,2137684,2145175,2178263,2215526,2248106,2286704,2332722,2379764,2422812,2458921,2491194,,
19100,23104,48251,"Johnson County, TX",County or equivalent,150934,150956,151264,152094,153415,154535,156733,159345,162763,167012,171121,175817,,
19100,23104,48367,"Parker County, TX",County or equivalent,116927,116949,117316,118320,119482,119785,122147,125640,128967,133501,138070,142878,,
19100,23104,48439,"Tarrant County, TX",County or equivalent,1809034,1810664,1817480,1847882,1882205,1912767,1946122,1984880,2023556,2056451,2081446,2102515,,
19100,23104,48497,"Wise County, TX",County or equivalent,59127,59115,59115,59967,60424,61019,61702,62857,64478,65848,68284,69984,,
19140,,,"Dalton, GA",Metropolitan Statistical Area,142227,142233,142278,142285,142259,141906,142298,143099,143753,144037,144192,144724,,
19140,,13213,"Murray County, GA",County or equivalent,39628,39628,39533,39365,39311,39178,39215,39430,39347,39803,39943,40096,,
19140,,13313,"Whitfield County, GA",County or equivalent,102599,102605,102745,102920,102948,102728,103083,103669,104406,104234,104249,104628,,
19180,,,"Danville, IL",Metropolitan Statistical Area,81625,81625,81640,81414,80862,80585,79783,79170,78494,77689,76702,75758,,
19180,,17183,"Vermilion County, IL",County or equivalent,81625,81625,81640,81414,80862,80585,79783,79170,78494,77689,76702,75758,,
19300,,,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,182265,182265,183112,186558,190145,194885,199183,202939,207601,212521,217855,223234,,
19300,,1003,"Baldwin County, AL",County or equivalent,182265,182265,183112,186558,190145,194885,199183,202939,207601,212521,217855,223234,,
19340,,,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,379690,379681,379743,380685,382431,383843,384070,383381,382178,381103,380044,379172,,
19340,,17073,"Henry County, IL",County or equivalent,50486,50483,50452,50283,50249,49917,49824,49638,49498,49219,49069,48913,,
19340,,17131,"Mercer County, IL",County or equivalent,16434,16434,16409,16316,16163,16075,15901,15746,15602,15608,15551,15437,,
19340,,17161,"Rock Island County, IL",County or equivalent,147546,147541,147610,147457,147672,147650,147035,146094,144943,143828,142621,141879,,
19340,,19163,"Scott County, IA",County or equivalent,165224,165223,165272,166629,168347,170201,171310,171903,172135,172448,172803,172943,,
19430,,,"Dayton-Kettering, OH",Metropolitan Statistical Area,799232,799280,799672,800858,801603,801390,801017,800124,801661,803233,805088,807611,,
19430,,39057,"Greene County, OH",County or equivalent,161573,161577,161588,163566,164335,163907,164673,164272,165290,166566,167446,168937,,
19430,,39109,"Miami County, OH",County or equivalent,102506,102503,102487,102734,102934,103213,103856,104075,104553,105200,106042,106987,,
19430,,39113,"Montgomery County, OH",County or equivalent,535153,535200,535597,534558,534334,534270,532488,531777,531818,531467,531600,531687,,
19460,,,"Decatur, AL",Metropolitan Statistical Area,153829,153827,153950,154075,153908,153146,152888,152392,152233,151981,152144,152603,,
19460,,1079,"Lawrence County, AL",County or equivalent,34339,34337,34342,34051,33806,33575,33444,33135,33227,33063,32941,32924,,
19460,,1103,"Morgan County, AL",County or equivalent,119490,119490,119608,120024,120102,119571,119444,119257,119006,118918,119203,119679,,
19500,,,"Decatur, IL",Metropolitan Statistical Area,110768,110777,110787,110684,110134,109561,108515,107343,106383,105399,104504,104009,,
19500,,17115,"Macon County, IL",County or equivalent,110768,110777,110787,110684,110134,109561,108515,107343,106383,105399,104504,104009,,
19660,,,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,590289,590288,590506,591926,594969,600236,608604,621166,635859,647867,658186,668365,,
19660,,12035,"Flagler County, FL",County or equivalent,95696,95692,96066,97462,98434,99798,101889,104436,107406,109999,112085,115081,,
19660,,12127,"Volusia County, FL",County or equivalent,494593,494596,494440,494464,496535,500438,506715,516730,528453,537868,546101,553284,,
19740,,,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,2543482,2543608,2554523,2602918,2650274,2700529,2753973,2812896,2856755,2891776,2931665,2967239,,
19740,,8001,"Adams County, CO",County or equivalent,441603,441697,443691,452201,460558,469978,479946,490443,497734,503590,511354,517421,,
19740,,8005,"Arapahoe County, CO",County or equivalent,572003,572118,574747,585968,596500,608467,619034,630984,638950,644478,651797,656590,,
19740,,8014,"Broomfield County, CO",County or equivalent,55889,55861,56226,57493,58971,60149,61764,64866,66513,68263,69324,70465,,
19740,,8019,"Clear Creek County, CO",County or equivalent,9088,9073,9083,9011,9018,9024,9124,9244,9353,9574,9604,9700,,
19740,,8031,"Denver County, CO",County or equivalent,600158,599825,603359,620530,635163,649391,664582,683285,696159,704961,716265,727211,,
19740,,8035,"Douglas County, CO",County or equivalent,285465,285465,286977,292548,298708,306234,314545,322025,328219,335816,342989,351154,,
19740,,8039,"Elbert County, CO",County or equivalent,23086,23088,23142,23178,23274,23541,24031,24630,25157,25765,26303,26729,,
19740,,8047,"Gilpin County, CO",County or equivalent,5441,5449,5471,5428,5431,5530,5747,5805,5914,6018,6112,6243,,
19740,,8059,"Jefferson County, CO",County or equivalent,534543,534829,535548,540506,546602,552031,558819,564888,571413,575417,579392,582881,,
19740,,8093,"Park County, CO",County or equivalent,16206,16203,16279,16055,16049,16184,16381,16726,17343,17894,18525,18845,,
19780,,,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,606475,606474,608930,618299,626778,637846,649652,659522,671055,681413,690915,699292,,
19780,,19049,"Dallas County, IA",County or equivalent,66135,66139,66750,69696,72235,74949,77739,80631,84248,87208,89953,93453,,
19780,,19077,"Guthrie County, IA",County or equivalent,10954,10955,10937,10859,10762,10671,10686,10649,10642,10645,10720,10689,,
19780,,19099,"Jasper County, IA",County or equivalent,36842,36842,36812,36622,36574,36728,36886,36750,36736,36995,37189,37185,,
19780,,19121,"Madison County, IA",County or equivalent,15679,15681,15739,15740,15641,15483,15616,15720,15796,16000,16206,16338,,
19780,,19153,"Polk County, IA",County or equivalent,430640,430631,432352,438737,444671,452657,460898,467304,474277,480487,485833,490161,,
19780,,19181,"Warren County, IA",County or equivalent,46225,46226,46340,46645,46895,47358,47827,48468,49356,50078,51014,51466,,
19820,,,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,4296250,4296227,4291508,4291696,4300864,4305587,4311194,4309673,4316260,4321593,4322084,4319629,,
19820,19804,,"Detroit-Dearborn-Livonia, MI",Metropolitan Division,1820584,1820473,1815081,1803189,1795929,1780225,1771679,1764872,1760612,1757217,1754453,1749343,,
19820,19804,26163,"Wayne County, MI",County or equivalent,1820584,1820473,1815081,1803189,1795929,1780225,1771679,1764872,1760612,1757217,1754453,1749343,,
19820,47664,,"Warren-Troy-Farmington Hills, MI",Metropolitan Division,2475666,2475754,2476427,2488507,2504935,2525362,2539515,2544801,2555648,2564376,2567631,2570286,,
19820,47664,26087,"Lapeer County, MI",County or equivalent,88319,88316,88210,88094,88195,88291,88194,88368,88171,88122,87921,87607,,
19820,47664,26093,"Livingston County, MI",County or equivalent,180967,180964,181069,182043,182783,184205,185527,187171,188547,189869,191190,191995,,
19820,47664,26099,"Macomb County, MI",County or equivalent,840978,841039,841352,844146,849734,857110,862876,864960,868534,871364,872795,873972,,
19820,47664,26125,"Oakland County, MI",County or equivalent,1202362,1202384,1203106,1212643,1223598,1235468,1242853,1244602,1251027,1256016,1256694,1257584,,
19820,47664,26147,"St. Clair County, MI",County or equivalent,163040,163051,162690,161581,160625,160288,160065,159700,159369,159005,159031,159128,,
20020,,,"Dothan, AL",Metropolitan Statistical Area,145639,145640,145871,146621,147448,147449,147830,147992,147784,147878,148249,149358,,
20020,,1061,"Geneva County, AL",County or equivalent,26790,26781,26777,26756,26924,26677,26593,26631,26494,26385,26306,26271,,
20020,,1067,"Henry County, AL",County or equivalent,17302,17299,17296,17377,17153,17129,17079,17101,17072,17115,17173,17205,,
20020,,1069,"Houston County, AL",County or equivalent,101547,101560,101798,102488,103371,103643,104158,104260,104218,104378,104770,105882,,
20100,,,"Dover, DE",Metropolitan Statistical Area,162310,162350,162956,165110,167297,169038,171456,173128,174542,176499,178540,180786,,
20100,,10001,"Kent County, DE",County or equivalent,162310,162350,162956,165110,167297,169038,171456,173128,174542,176499,178540,180786,,
20220,,,"Dubuque, IA",Metropolitan Statistical Area,93653,93643,93929,94593,95159,95945,96481,96850,96763,97066,96922,97311,,
20220,,19061,"Dubuque County, IA",County or equivalent,93653,93643,93929,94593,95159,95945,96481,96850,96763,97066,96922,97311,,
20260,,,"Duluth, MN-WI",Metropolitan Statistical Area,290637,290636,290542,290594,290176,290193,290261,289741,289395,289108,289260,288732,,
20260,,27017,"Carlton County, MN",County or equivalent,35386,35386,35416,35445,35272,35275,35365,35409,35555,35509,35822,35871,,
20260,,27075,"Lake County, MN",County or equivalent,10866,10862,10854,10779,10792,10706,10602,10541,10514,10493,10610,10641,,
20260,,27137,"St. Louis County, MN",County or equivalent,200226,200229,200138,200412,200361,200452,200651,200296,199967,199778,199685,199070,,
20260,,55031,"Douglas County, WI",County or equivalent,44159,44159,44134,43958,43751,43760,43643,43495,43359,43328,43143,43150,,
20500,,,"Durham-Chapel Hill, NC",Metropolitan Statistical Area,564273,564193,566267,572520,581735,590364,599236,607706,618222,625678,637501,644367,,
20500,,37037,"Chatham County, NC",County or equivalent,63505,63485,63845,64109,64527,65243,66669,68263,69642,71189,73127,74470,,
20500,,37063,"Durham County, NC",County or equivalent,267587,270001,271357,276563,282659,288723,295137,300793,307826,312153,316979,321488,,
20500,,37077,"Granville County, NC",County or equivalent,59916,57538,57673,57503,57557,57762,57995,58162,58684,59372,59979,60443,,
20500,,37135,"Orange County, NC",County or equivalent,133801,133693,133981,134825,137817,139397,140321,141298,142800,143626,147980,148476,,
20500,,37145,"Person County, NC",County or equivalent,39464,39476,39411,39520,39175,39239,39114,39190,39270,39338,39436,39490,,
20700,,,"East Stroudsburg, PA",Metropolitan Statistical Area,169842,169841,169849,169891,168628,167355,167285,166481,166220,167895,169294,170271,,
20700,,42089,"Monroe County, PA",County or equivalent,169842,169841,169849,169891,168628,167355,167285,166481,166220,167895,169294,170271,,
20740,,,"Eau Claire, WI",Metropolitan Statistical Area,161151,161383,161655,162886,163892,164822,165023,165501,166430,167329,168464,169304,,
20740,,55017,"Chippewa County, WI",County or equivalent,62415,62502,62638,62948,63053,63088,63333,63421,63523,63747,64109,64658,,
20740,,55035,"Eau Claire County, WI",County or equivalent,98736,98881,99017,99938,100839,101734,101690,102080,102907,103582,104355,104646,,
20940,,,"El Centro, CA",Metropolitan Statistical Area,174528,174524,174716,175786,176575,176438,177974,178937,180179,181649,181523,181215,,
20940,,6025,"Imperial County, CA",County or equivalent,174528,174524,174716,175786,176575,176438,177974,178937,180179,181649,181523,181215,,
21060,,,"Elizabethtown-Fort Knox, KY",Metropolitan Statistical Area,148338,148331,149833,151319,151501,152228,151675,148107,148941,150390,153201,153928,,
21060,,21093,"Hardin County, KY",County or equivalent,105543,105537,106950,107497,108198,108969,108483,106272,106964,108161,110279,110958,,
21060,,21123,"Larue County, KY",County or equivalent,14193,14181,14169,14179,14048,14019,14106,14110,14018,14196,14299,14398,,
21060,,21163,"Meade County, KY",County or equivalent,28602,28613,28714,29643,29255,29240,29086,27725,27959,28033,28623,28572,,
21140,,,"Elkhart-Goshen, IN",Metropolitan Statistical Area,197559,197569,197451,198279,198968,200205,201423,202995,203642,204194,205617,206341,,
21140,,18039,"Elkhart County, IN",County or equivalent,197559,197569,197451,198279,198968,200205,201423,202995,203642,204194,205617,206341,,
21300,,,"Elmira, NY",Metropolitan Statistical Area,88830,88847,88895,88899,89137,88199,87177,86705,85644,84736,83935,83456,,
21300,,36015,"Chemung County, NY",County or equivalent,88830,88847,88895,88899,89137,88199,87177,86705,85644,84736,83935,83456,,
21340,,,"El Paso, TX",Metropolitan Statistical Area,804123,804109,807048,823308,835667,834203,837089,835439,839203,842005,841613,844124,,
21340,,48141,"El Paso County, TX",County or equivalent,800647,800633,803576,819896,832310,830864,833783,831898,834949,837401,836825,839238,,
21340,,48229,"Hudspeth County, TX",County or equivalent,3476,3476,3472,3412,3357,3339,3306,3541,4254,4604,4788,4886,,
21420,,,"Enid, OK",Metropolitan Statistical Area,60580,60580,60765,60763,61399,62370,62790,63248,62493,61600,61095,61056,,
21420,,40047,"Garfield County, OK",County or equivalent,60580,60580,60765,60763,61399,62370,62790,63248,62493,61600,61095,61056,,
21500,,,"Erie, PA",Metropolitan Statistical Area,280566,280584,280799,281327,281532,280717,279423,278174,276170,273558,271544,269728,,
21500,,42049,"Erie County, PA",County or equivalent,280566,280584,280799,281327,281532,280717,279423,278174,276170,273558,271544,269728,,
21660,,,"Eugene-Springfield, OR",Metropolitan Statistical Area,351715,351705,351920,354034,355075,355481,358027,361946,368874,375264,378549,382067,,
21660,,41039,"Lane County, OR",County or equivalent,351715,351705,351920,354034,355075,355481,358027,361946,368874,375264,378549,382067,,
21780,,,"Evansville, IN-KY",Metropolitan Statistical Area,311552,311548,311802,312698,313422,314331,314859,314983,315283,314791,314660,315086,,
21780,,18129,"Posey County, IN",County or equivalent,25910,25912,25861,25695,25616,25561,25603,25613,25639,25569,25554,25427,,
21780,,18163,"Vanderburgh County, IN",County or equivalent,179703,179701,179842,180468,181040,181580,181934,181504,181427,180954,181120,181451,,
21780,,18173,"Warrick County, IN",County or equivalent,59689,59689,59839,60201,60347,60852,60956,61522,62005,62401,62474,62998,,
21780,,21101,"Henderson County, KY",County or equivalent,46250,46246,46260,46334,46419,46338,46366,46344,46212,45867,45512,45210,,
21820,,,"Fairbanks, AK",Metropolitan Statistical Area,97581,97585,98264,98120,100311,100933,99254,99636,100633,99675,98565,96849,,
21820,,2090,"Fairbanks North Star Borough, AK",County or equivalent,97581,97585,98264,98120,100311,100933,99254,99636,100633,99675,98565,96849,,
22020,,,"Fargo, ND-MN",Metropolitan Statistical Area,208777,208777,209455,213222,217610,223360,227790,232891,237244,241511,244311,246145,,
22020,,27027,"Clay County, MN",County or equivalent,58999,58999,59147,59921,60194,60523,61238,62169,63055,63766,64017,64222,,
22020,,38017,"Cass County, ND",County or equivalent,149778,149778,150308,153301,157416,162837,166552,170722,174189,177745,180294,181923,,
22140,,,"Farmington, NM",Metropolitan Statistical Area,130044,130045,130203,129711,129756,129467,129084,128246,127954,126917,125499,123958,,
22140,,35045,"San Juan County, NM",County or equivalent,130044,130045,130203,129711,129756,129467,129084,128246,127954,126917,125499,123958,,
22180,,,"Fayetteville, NC",Metropolitan Statistical Area,481061,481011,490446,499149,502672,509180,510635,511976,516822,517527,522461,526719,,
22180,,37051,"Cumberland County, NC",County or equivalent,319431,319431,327197,330503,329985,332997,332364,331203,333167,330994,333430,335509,,
22180,,37085,"Harnett County, NC",County or equivalent,114678,114691,115753,119178,122204,125028,126685,128034,130674,132395,134336,135976,,
22180,,37093,"Hoke County, NC",County or equivalent,46952,46889,47496,49468,50483,51155,51586,52739,52981,54138,54695,55234,,
22220,,,"Fayetteville-Springdale-Rogers, AR",Metropolitan Statistical Area,440121,440121,442301,452884,462291,471140,480513,491730,503806,515616,525239,534904,,
22220,,5007,"Benton County, AR",County or equivalent,221339,221348,222593,229171,234938,239461,244841,251591,259212,266585,272266,279141,,
22220,,5087,"Madison County, AR",County or equivalent,15717,15723,15684,15662,15597,15679,15731,15705,16112,16299,16362,16576,,
22220,,5143,"Washington County, AR",County or equivalent,203065,203050,204024,208051,211756,216000,219941,224434,228482,232732,236611,239187,,
22380,,,"Flagstaff, AZ",Metropolitan Statistical Area,134421,134426,134612,134275,136146,136699,137566,138962,140407,141001,142523,143476,,
22380,,4005,"Coconino County, AZ",County or equivalent,134421,134426,134612,134275,136146,136699,137566,138962,140407,141001,142523,143476,,
22420,,,"Flint, MI",Metropolitan Statistical Area,425790,425787,424953,422026,418193,415639,412859,410461,408926,407488,406688,405813,,
22420,,26049,"Genesee County, MI",County or equivalent,425790,425787,424953,422026,418193,415639,412859,410461,408926,407488,406688,405813,,
22500,,,"Florence, SC",Metropolitan Statistical Area,205566,205576,205662,205800,206041,205986,206426,206235,205854,205476,205036,204911,,
22500,,45031,"Darlington County, SC",County or equivalent,68681,68611,68522,68168,68056,67808,67647,67520,67259,66981,66759,66618,,
22500,,45041,"Florence County, SC",County or equivalent,136885,136965,137140,137632,137985,138178,138779,138715,138595,138495,138277,138293,,
22520,,,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,147137,147137,147261,147146,147232,147230,147462,146876,146922,147259,147608,147970,,
22520,,1033,"Colbert County, AL",County or equivalent,54428,54428,54524,54539,54570,54529,54462,54417,54497,54695,55004,55241,,
22520,,1077,"Lauderdale County, AL",County or equivalent,92709,92709,92737,92607,92662,92701,93000,92459,92425,92564,92604,92729,,
22540,,,"Fond du Lac, WI",Metropolitan Statistical Area,101633,101623,101576,101810,101788,101787,101977,101955,102211,102417,103001,103403,,
22540,,55039,"Fond du Lac County, WI",County or equivalent,101633,101623,101576,101810,101788,101787,101977,101955,102211,102417,103001,103403,,
22660,,,"Fort Collins, CO",Metropolitan Statistical Area,299630,299630,300441,305246,310842,316225,324008,333303,338984,344084,350660,356899,,
22660,,8069,"Larimer County, CO",County or equivalent,299630,299630,300441,305246,310842,316225,324008,333303,338984,344084,350660,356899,,
22900,,,"Fort Smith, AR-OK",Metropolitan Statistical Area,248208,248240,248344,249236,249491,248569,248220,248820,249170,250231,250298,250368,,
22900,,5033,"Crawford County, AR",County or equivalent,61948,61935,61956,61796,61911,61667,61807,61904,62263,62894,63379,63257,,
22900,,5047,"Franklin County, AR",County or equivalent,18125,18137,18142,18009,17959,17915,17828,17749,17655,17809,17764,17715,,
22900,,5131,"Sebastian County, AR",County or equivalent,125744,125740,125737,127010,127571,127173,126733,127385,127385,127786,127570,127827,,
22900,,40135,"Sequoyah County, OK",County or equivalent,42391,42428,42509,42421,42050,41814,41852,41782,41867,41742,41585,41569,,
23060,,,"Fort Wayne, IN",Metropolitan Statistical Area,388621,388626,389298,392332,394225,396638,398591,400806,402887,405445,409126,413263,,
23060,,18003,"Allen County, IN",County or equivalent,355329,355339,355945,358974,360890,363355,365147,367362,369412,371723,375079,379299,,
23060,,18183,"Whitley County, IN",County or equivalent,33292,33287,33353,33358,33335,33283,33444,33444,33475,33722,34047,33964,,
23420,,,"Fresno, CA",Metropolitan Statistical Area,930450,930507,932039,939406,945045,951514,960567,969488,976830,985238,991950,999101,,
23420,,6019,"Fresno County, CA",County or equivalent,930450,930507,932039,939406,945045,951514,960567,969488,976830,985238,991950,999101,,
23460,,,"Gadsden, AL",Metropolitan Statistical Area,104430,104429,104459,104369,104278,103884,103399,102998,102855,103007,102611,102268,,
23460,,1055,"Etowah County, AL",County or equivalent,104430,104429,104459,104369,104278,103884,103399,102998,102855,103007,102611,102268,,
23540,,,"Gainesville, FL",Metropolitan Statistical Area,305076,305076,305334,306979,308240,308865,311743,316031,321418,324485,327933,329128,,
23540,,12001,"Alachua County, FL",County or equivalent,247336,247337,247614,249834,251520,252475,255456,259052,263959,266309,268851,269043,,
23540,,12041,"Gilchrist County, FL",County or equivalent,16939,16941,17000,16994,16897,16957,16991,17378,17622,17900,18284,18582,,
23540,,12075,"Levy County, FL",County or equivalent,40801,40798,40720,40151,39823,39433,39296,39601,39837,40276,40798,41503,,
23580,,,"Gainesville, GA",Metropolitan Statistical Area,179684,179724,180033,182269,184102,186431,189142,192245,196159,198953,201538,204441,,
23580,,13139,"Hall County, GA",County or equivalent,179684,179724,180033,182269,184102,186431,189142,192245,196159,198953,201538,204441,,
23900,,,"Gettysburg, PA",Metropolitan Statistical Area,101407,101428,101479,101474,101254,101137,101353,101808,101911,102562,103062,103009,,
23900,,42001,"Adams County, PA",County or equivalent,101407,101428,101479,101474,101254,101137,101353,101808,101911,102562,103062,103009,,
24020,,,"Glens Falls, NY",Metropolitan Statistical Area,128923,128946,129021,128827,128420,127848,127341,126666,126233,125924,125489,125148,,
24020,,36113,"Warren County, NY",County or equivalent,65707,65692,65665,65736,65417,65083,64866,64420,64438,64365,64215,63944,,
24020,,36115,"Washington County, NY",County or equivalent,63216,63254,63356,63091,63003,62765,62475,62246,61795,61559,61274,61204,,
24140,,,"Goldsboro, NC",Metropolitan Statistical Area,122623,122661,122886,124038,124559,124587,124586,124342,124269,123034,123237,123131,,
24140,,37191,"Wayne County, NC",County or equivalent,122623,122661,122886,124038,124559,124587,124586,124342,124269,123034,123237,123131,,
24220,,,"Grand Forks, ND-MN",Metropolitan Statistical Area,98461,98464,98633,98194,99093,100741,101260,101849,102171,102126,101766,100815,,
24220,,27119,"Polk County, MN",County or equivalent,31600,31600,31639,31540,31511,31639,31496,31497,31698,31637,31411,31364,,
24220,,38035,"Grand Forks County, ND",County or equivalent,66861,66864,66994,66654,67582,69102,69764,70352,70473,70489,70355,69451,,
24260,,,"Grand Island, NE",Metropolitan Statistical Area,72726,72744,72936,73547,74238,74652,75240,75319,75598,75456,75476,75553,,
24260,,31079,"Hall County, NE",County or equivalent,58607,58611,58805,59492,60095,60485,61099,61132,61353,61201,61286,61353,,
24260,,31093,"Howard County, NE",County or equivalent,6274,6274,6279,6295,6298,6337,6353,6382,6407,6396,6457,6445,,
24260,,31121,"Merrick County, NE",County or equivalent,7845,7859,7852,7760,7845,7830,7788,7805,7838,7859,7733,7755,,
24300,,,"Grand Junction, CO",Metropolitan Statistical Area,146723,146733,146259,147174,147317,147175,147113,148025,149736,151170,152951,154210,,
24300,,8077,"Mesa County, CO",County or equivalent,146723,146733,146259,147174,147317,147175,147113,148025,149736,151170,152951,154210,,
24340,,,"Grand Rapids-Kentwood, MI",Metropolitan Statistical Area,993670,993663,994262,1002556,1013655,1025473,1036234,1044842,1054710,1063670,1071370,1077370,,
24340,,26067,"Ionia County, MI",County or equivalent,63905,63901,63842,63860,63888,63991,64232,64056,64187,64284,64276,64697,,
24340,,26081,"Kent County, MI",County or equivalent,602622,602625,602975,608501,615798,624303,631334,637164,643858,649278,653350,656955,,
24340,,26117,"Montcalm County, MI",County or equivalent,63342,63342,63315,63266,63096,62794,62804,62763,62953,63527,63936,63888,,
24340,,26139,"Ottawa County, MI",County or equivalent,263801,263795,264130,266929,270873,274385,277864,280859,283712,286581,289808,291830,,
24420,,,"Grants Pass, OR",Metropolitan Statistical Area,82713,82719,82879,82702,82755,83131,83377,84528,85504,86584,87150,87487,,
24420,,41033,"Josephine County, OR",County or equivalent,82713,82719,82879,82702,82755,83131,83377,84528,85504,86584,87150,87487,,
24500,,,"Great Falls, MT",Metropolitan Statistical Area,81327,81326,81507,81714,81622,82194,82056,81878,81562,81633,81688,81366,,
24500,,30013,"Cascade County, MT",County or equivalent,81327,81326,81507,81714,81622,82194,82056,81878,81562,81633,81688,81366,,
24540,,,"Greeley, CO",Metropolitan Statistical Area,252825,252827,254207,258827,264131,270165,277112,285819,295712,305885,314815,324492,,
24540,,8123,"Weld County, CO",County or equivalent,252825,252827,254207,258827,264131,270165,277112,285819,295712,305885,314815,324492,,
24580,,,"Green Bay, WI",Metropolitan Statistical Area,306241,306241,306754,308613,310605,311947,314003,315652,317369,319694,321384,322906,,
24580,,55009,"Brown County, WI",County or equivalent,248007,248003,248476,250481,252682,254211,256202,257856,259514,261762,263165,264542,,
24580,,55061,"Kewaunee County, WI",County or equivalent,20574,20578,20561,20558,20505,20370,20341,20324,20380,20401,20395,20434,,
24580,,55083,"Oconto County, WI",County or equivalent,37660,37660,37717,37574,37418,37366,37460,37472,37475,37531,37824,37930,,
24660,,,"Greensboro-High Point, NC",Metropolitan Statistical Area,723801,723923,725264,730095,735475,740604,746497,751285,758635,762071,766473,771851,,
24660,,37081,"Guilford County, NC",County or equivalent,488406,488454,489618,494953,500514,506400,512233,517053,524265,528243,532607,537174,,
