area,area_name,occ_code,occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,year,occ
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",27-2032,Choreographers,1160,28.0,34.26,71250,12.5,13.20,19.42,27.90,50.94,56.80,27460,40390,58040,105960,118150,2005,choreo
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",39-9031,Fitness trainers and aerobics instructors,14830,9.9,20.32,42260,2.6,9.23,12.58,18.85,25.62,34.29,19210,26160,39210,53290,71320,2005,fit_trainer
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",39-9032,Recreation workers,20440,5.5,11.66,24260,1.5,6.77,8.10,10.37,13.96,18.16,14090,16860,21570,29030,37770,2005,rec_worker
Seattle,"Seattle-Tacoma-Bellevue, WA",00-0000,All Occupations,1566280,0.7,21.60,44920,1.9,8.77,11.73,17.60,27.01,39.32,18250,24400,36600,56190,81790,2005,all_jobs
Seattle,"Seattle-Tacoma-Bellevue, WA",27-2032,Choreographers,310,27.4,24.11,50140,7.1,13.41,16.70,22.50,30.50,37.66,27880,34730,46790,63430,78320,2005,choreo
Seattle,"Seattle-Tacoma-Bellevue, WA",39-9031,Fitness trainers and aerobics instructors,,,17.79,37000,7.3,8.84,10.56,15.88,22.22,31.76,18380,21970,33030,46220,66070,2005,fit_trainer
Seattle,"Seattle-Tacoma-Bellevue, WA",39-9032,Recreation workers,,,12.17,25320,4.5,8.14,9.22,10.75,14.79,18.52,16940,19180,22360,30770,38520,2005,rec_worker
All,U.S. all,00-0000,All Occupations,     132604980,       0.1,         18.84,         39190,           0.1,          7.45,          9.75,         14.61,         22.99,         35.08,         15500,         20270,         30400,         47820,         72960,2006,all_jobs
All,U.S. all,27-2031,Dancers,         16010,       8.0,         13.86,,           3.7,          6.62,          7.31,          9.55,         17.50,         25.75,,,,,,2006,dancer
All,U.S. all,27-2032,Choreographers,         16340,       6.2,         18.42,         38320,           2.6,          7.55,         10.53,         16.67,         23.95,         30.80,         15710,         21910,         34660,         49810,         64070,2006,choreo
All,U.S. all,39-9031,Fitness trainers and aerobics instructors,        205970,       1.5,         15.24,         31710,           0.9,          7.15,          8.66,         12.46,         19.73,         27.29,         14880,         18010,         25910,         41040,         56750,2006,fit_trainer
All,U.S. all,39-9032,Recreation workers,        273280,       1.1,         11.03,         22950,           0.4,          6.80,          7.86,          9.84,         13.00,         17.20,         14150,         16360,         20470,         27050,         35780,2006,rec_worker
LA,"Los Angeles-Long Beach-Santa Ana, CA",00-0000,All Occupations,5631300,0.4,20.89,43440,0.7,7.94,9.91,15.84,26.11,40.27,16510,20610,32950,54300,83760,2006,all_jobs
LA,"Los Angeles-Long Beach-Santa Ana, CA",27-2031,Dancers,1580,44.0,8.78,,5.5,7.34,7.67,8.26,8.84,10.94,,,,,,2006,dancer
LA,"Los Angeles-Long Beach-Santa Ana, CA",27-2032,Choreographers,1200,27.3,20.91,43500,7.8,8.81,14.77,20.76,26.17,31.73,18330,30730,43180,54430,65990,2006,choreo
LA,"Los Angeles-Long Beach-Santa Ana, CA",39-9031,Fitness trainers and aerobics instructors,10880,6.1,18.22,37890,3.2,7.92,9.25,17.90,24.33,31.01,16470,19240,37240,50600,64500,2006,fit_trainer
LA,"Los Angeles-Long Beach-Santa Ana, CA",39-9032,Recreation workers,12320,5.7,10.49,21830,1.4,7.49,8.34,9.87,11.72,14.53,15580,17340,20520,24380,30220,2006,rec_worker
SanFran,"San Francisco-Oakland-Fremont, CA",00-0000,All Occupations,1993170,0.6,25.11,52230,0.6,8.92,12.42,20.16,32.04,47.98,18550,25840,41930,66650,99790,2006,all_jobs
SanFran,"San Francisco-Oakland-Fremont, CA",27-2031,Dancers,,,15.14,,14.8,7.18,8.87,12.28,18.16,27.55,,,,,,2006,dancer
SanFran,"San Francisco-Oakland-Fremont, CA",27-2032,Choreographers,420,45.9,22.25,46290,13.3,14.03,15.83,19.26,26.80,39.29,29190,32930,40060,55750,81720,2006,choreo
SanFran,"San Francisco-Oakland-Fremont, CA",39-9031,Fitness trainers and aerobics instructors,4860,7.7,23.21,48270,8.6,8.93,11.42,20.19,32.20,44.62,18570,23740,41990,66980,92810,2006,fit_trainer
SanFran,"San Francisco-Oakland-Fremont, CA",39-9032,Recreation workers,5240,7.4,12.89,26800,1.8,7.93,9.34,12.08,15.40,18.98,16480,19420,25120,32030,39480,2006,rec_worker
Chicago,"Chicago-Naperville-Joilet, IL-IN-WI",00-0000,All Occupations,4413800,0.4,20.62,42880,0.9,7.48,10.13,15.97,26.19,38.50,15550,21080,33220,54480,80080,2006,all_jobs
Chicago,"Chicago-Naperville-Joilet, IL-IN-WI",27-2031,Dancers,,,11.80,,14.4,6.91,7.37,9.43,12.67,23.38,,,,,,2006,dancer
Chicago,"Chicago-Naperville-Joilet, IL-IN-WI",27-2032,Choreographers,170,41.2,20.99,43670,15.7,8.59,11.19,19.24,29.97,40.55,17870,23270,40020,62330,84350,2006,choreo
Chicago,"Chicago-Naperville-Joilet, IL-IN-WI",39-9031,Fitness trainers and aerobics instructors,8210,11.8,16.92,35190,3.3,6.93,8.49,12.05,23.39,32.26,14410,17670,25060,48660,67090,2006,fit_trainer
Chicago,"Chicago-Naperville-Joilet, IL-IN-WI",39-9032,Recreation workers,10550,7.0,11.53,23980,3.3,6.94,7.55,9.46,13.30,20.67,14430,15690,19680,27670,43000,2006,rec_worker
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",00-0000,All Occupations,8197010,0.2,23.55,48980,0.8,8.20,11.42,18.17,29.47,45.36,17050,23740,37780,61290,94350,2006,all_jobs
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",27-2032,Choreographers,800,33.9,28.41,59100,15.0,12.55,16.51,24.74,29.43,57.50,26100,34340,51470,61210,119610,2006,choreo
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",39-9031,Fitness trainers and aerobics instructors,14250,11.0,20.34,42320,2.2,8.91,12.05,19.12,26.28,33.93,18540,25060,39780,54670,70580,2006,fit_trainer
NY,"New York-Northern New Jersey-Long Island, NY-NJ-PA",39-9032,Recreation workers,19930,4.3,12.07,25110,1.6,7.01,8.38,10.78,14.43,18.92,14580,17420,22420,30020,39360,2006,rec_worker
Seattle,"Seattle-Tacoma-Bellevue, WA",00-0000,All Occupations,1621620,0.7,22.36,46520,1.9,9.11,12.22,18.23,28.13,40.58,18950,25410,37920,58510,84410,2006,all_jobs
Seattle,"Seattle-Tacoma-Bellevue, WA",27-2031,Dancers,230,30.9,15.28,,11.8,7.63,10.13,11.80,20.48,25.16,,,,,,2006,dancer
Seattle,"Seattle-Tacoma-Bellevue, WA",27-2032,Choreographers,270,39.6,24.22,50380,15.3,11.34,16.14,23.02,33.01,38.08,23590,33570,47880,68660,79200,2006,choreo
Seattle,"Seattle-Tacoma-Bellevue, WA",39-9031,Fitness trainers and aerobics instructors,,,18.41,38300,7.1,9.02,10.56,15.62,24.99,33.59,18760,21960,32490,51990,69870,2006,fit_trainer
Seattle,"Seattle-Tacoma-Bellevue, WA",39-9032,Recreation workers,,,11.67,24280,1.9,7.98,8.96,10.55,13.35,17.35,16600,18630,21950,27770,36100,2006,rec_worker
